,toss_decision,avgTeam1,avgTeam2,avgWckTeam1,avgWckTeam2,team1_toss_win,team1_bat
0,1,0.0,0.0,0.0,0.0,0.0,0
1,0,0.0,0.0,0.0,0.0,1.0,1
2,0,0.0,0.0,0.0,0.0,1.0,1
3,0,0.0,0.0,0.0,0.0,1.0,1
4,0,0.0,0.0,0.0,0.0,1.0,1
5,0,0.0,0.0,0.0,0.0,1.0,1
6,0,0.0,0.0,0.0,0.0,1.0,1
7,1,0.0,0.0,0.0,0.0,0.0,0
8,1,0.0,0.0,0.0,0.0,0.0,0
9,1,0.0,0.0,0.0,0.0,0.0,0
10,1,0.0,0.0,0.0,0.0,0.0,0
11,0,0.0,0.0,0.0,0.0,1.0,1
12,1,0.0,0.0,0.0,0.0,0.0,0
13,0,0.0,0.0,0.0,0.0,1.0,1
14,0,0.0,0.0,0.0,0.0,1.0,1
15,0,0.0,0.0,0.0,0.0,1.0,1
16,1,0.0,0.0,0.0,0.0,0.0,0
17,1,0.0,0.0,0.0,0.0,0.0,0
18,0,0.0,0.0,0.0,0.0,1.0,1
19,0,0.0,0.0,0.0,0.0,1.0,1
20,0,0.0,0.0,0.0,0.0,1.0,1
21,0,0.0,0.0,0.0,0.0,1.0,1
22,1,0.0,0.0,0.0,0.0,0.0,0
23,0,0.0,0.0,0.0,0.0,1.0,1
24,1,0.0,0.0,0.0,0.0,0.0,0
25,1,0.0,0.0,0.0,0.0,0.0,0
26,1,0.0,0.0,0.0,0.0,0.0,0
27,1,0.0,0.0,0.0,0.0,0.0,0
28,0,0.0,0.0,0.0,0.0,1.0,1
29,1,0.0,0.0,0.0,0.0,0.0,0
30,1,0.0,0.0,0.0,0.0,0.0,0
31,1,0.0,0.0,0.0,0.0,0.0,0
32,0,0.0,0.0,0.0,0.0,1.0,1
33,1,0.0,0.0,0.0,0.0,0.0,0
34,0,0.0,0.0,0.0,0.0,1.0,1
35,0,0.0,0.0,0.0,0.0,1.0,1
36,1,0.0,0.0,0.0,0.0,0.0,0
37,1,0.0,0.0,0.0,0.0,0.0,0
38,1,0.0,0.0,0.0,0.0,0.0,0
39,1,0.0,0.0,0.0,0.0,0.0,0
40,0,0.0,0.0,0.0,0.0,1.0,1
41,1,0.0,0.0,0.0,0.0,0.0,0
42,1,0.0,0.0,0.0,0.0,0.0,0
43,0,0.0,0.0,0.0,0.0,1.0,1
44,1,0.0,0.0,0.0,0.0,0.0,0
45,1,0.0,0.0,0.0,0.0,0.0,0
46,1,0.0,0.0,0.0,0.0,0.0,0
47,0,0.0,0.0,0.0,0.0,1.0,1
48,1,0.0,0.0,0.0,0.0,0.0,0
49,1,0.0,0.0,0.0,0.0,0.0,0
50,0,0.0,0.0,0.0,0.0,1.0,1
51,1,0.0,0.0,0.0,0.0,0.0,0
52,0,0.0,0.0,0.0,0.0,1.0,1
53,1,0.0,0.0,0.0,0.0,0.0,0
54,0,0.0,0.0,0.0,0.0,1.0,1
55,1,0.0,0.0,0.0,0.0,0.0,0
56,0,0.0,0.0,0.0,0.0,1.0,1
57,1,0.0,0.0,0.0,0.0,0.0,0
58,1,0.7584269662921348,0.8258426966292135,0.8333333333333333,0.8333333333333333,0.0,0
59,0,0.747191011235955,0.848314606741573,0.6666666666666666,1.0,1.0,1
60,1,0.8764044943820224,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0
61,0,0.7752808988764045,0.848314606741573,0.6666666666666666,0.6666666666666666,1.0,1
62,0,0.8258426966292135,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1
63,1,0.8764044943820224,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0
64,0,0.848314606741573,0.747191011235955,0.6666666666666666,0.6666666666666666,1.0,1
65,0,0.797752808988764,0.8258426966292135,0.8333333333333333,0.8333333333333333,1.0,1
66,1,0.848314606741573,0.7752808988764045,1.0,0.6666666666666666,0.0,0
67,0,0.747191011235955,0.8764044943820224,0.6666666666666666,0.8333333333333333,1.0,1
68,0,0.848314606741573,0.7584269662921348,0.6666666666666666,0.8333333333333333,1.0,1
69,0,0.747191011235955,0.797752808988764,0.6666666666666666,0.8333333333333333,1.0,1
70,0,0.8764044943820224,0.848314606741573,0.8333333333333333,1.0,1.0,1
71,1,0.8258426966292135,0.848314606741573,0.8333333333333333,0.6666666666666666,0.0,0
72,0,0.7584269662921348,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
73,0,0.797752808988764,0.848314606741573,0.8333333333333333,1.0,1.0,1
74,0,0.7752808988764045,0.747191011235955,0.6666666666666666,0.6666666666666666,1.0,1
75,0,0.8764044943820224,0.7584269662921348,0.8333333333333333,0.8333333333333333,1.0,1
76,1,0.848314606741573,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0
77,1,0.8258426966292135,0.848314606741573,0.8333333333333333,1.0,0.0,0
78,0,0.7584269662921348,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
79,0,0.747191011235955,0.8764044943820224,0.6666666666666666,0.8333333333333333,1.0,1
80,0,0.848314606741573,0.848314606741573,0.6666666666666666,1.0,1.0,1
81,1,0.8258426966292135,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0
82,0,0.7752808988764045,0.8764044943820224,0.6666666666666666,0.8333333333333333,1.0,1
83,0,0.7584269662921348,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1
84,0,0.8258426966292135,0.848314606741573,0.8333333333333333,0.6666666666666666,1.0,1
85,1,0.848314606741573,0.8764044943820224,1.0,0.8333333333333333,0.0,0
86,0,0.7752808988764045,0.797752808988764,0.6666666666666666,0.8333333333333333,1.0,1
87,0,0.848314606741573,0.7584269662921348,0.6666666666666666,0.8333333333333333,1.0,1
88,1,0.747191011235955,0.848314606741573,0.6666666666666666,1.0,0.0,0
89,0,0.8258426966292135,0.8764044943820224,0.8333333333333333,0.8333333333333333,1.0,1
90,0,0.7584269662921348,0.797752808988764,0.8333333333333333,0.8333333333333333,1.0,1
91,1,0.848314606741573,0.8764044943820224,0.6666666666666666,0.8333333333333333,0.0,0
92,0,0.848314606741573,0.8258426966292135,1.0,0.8333333333333333,1.0,1
93,0,0.7584269662921348,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1
94,1,0.7752808988764045,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0
95,0,0.848314606741573,0.848314606741573,0.6666666666666666,1.0,1.0,1
96,1,0.7752808988764045,0.747191011235955,0.6666666666666666,0.6666666666666666,0.0,0
97,0,0.8764044943820224,0.7584269662921348,0.8333333333333333,0.8333333333333333,1.0,1
98,1,0.797752808988764,0.848314606741573,0.8333333333333333,0.6666666666666666,0.0,0
99,0,0.8258426966292135,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1
100,0,0.848314606741573,0.7584269662921348,1.0,0.8333333333333333,1.0,1
101,1,0.797752808988764,0.8764044943820224,0.8333333333333333,0.8333333333333333,0.0,0
102,0,0.7584269662921348,0.8258426966292135,0.8333333333333333,0.8333333333333333,1.0,1
103,1,0.7752808988764045,0.848314606741573,0.6666666666666666,0.6666666666666666,0.0,0
104,1,0.8764044943820224,0.848314606741573,0.8333333333333333,0.6666666666666666,0.0,0
105,0,0.797752808988764,0.848314606741573,0.8333333333333333,1.0,1.0,1
106,0,0.8258426966292135,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
107,0,0.797752808988764,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1
108,1,0.848314606741573,0.7752808988764045,1.0,0.6666666666666666,0.0,0
109,0,0.8258426966292135,0.8764044943820224,0.8333333333333333,0.8333333333333333,1.0,1
110,1,0.7584269662921348,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0
111,0,0.747191011235955,0.848314606741573,0.6666666666666666,0.6666666666666666,1.0,1
112,1,0.797752808988764,0.848314606741573,0.8333333333333333,0.6666666666666666,0.0,0
113,1,0.8258426966292135,0.747191011235955,0.8333333333333333,0.6666666666666666,0.0,0
114,1,0.848314606741573,0.747191011235955,0.6666666666666666,0.6666666666666666,0.0,0
115,1,0.6685393258426966,0.797752808988764,0.5,1.0,0.0,0
116,0,0.7584269662921348,0.6460674157303371,0.8333333333333333,1.0,1.0,1
117,1,0.7078651685393258,0.7528089887640449,0.8333333333333333,1.0,0.0,0
118,1,0.7584269662921348,0.6685393258426966,0.6666666666666666,0.5,0.0,0
119,0,0.797752808988764,0.8314606741573034,1.0,1.0,1.0,1
120,1,0.6460674157303371,0.7528089887640449,1.0,1.0,0.0,0
121,0,0.7078651685393258,0.7584269662921348,0.8333333333333333,0.6666666666666666,1.0,1
122,0,0.8314606741573034,0.6685393258426966,1.0,0.5,1.0,1
